Year,Store,Category,SubCategory,Item,Price
2014,AAFES-SATURDAY-SALE,Home Theatre,Home Theatre Systems,Sony 2.1-Channel TV Sound System,199.99
2014,AAFES-SATURDAY-SALE,Apparel,Men's,Geoffrey Beene Mens Woven Lounge Pants (Assorted),8.5
2014,AAFES-THANKSGIVING,Televisions,LED,"Samsung 24"" 720p 60Hz LED HDTV (UN24H4000)",129.0
2014,AAFES-THANKSGIVING,Electronics,Portable Speakers,Beats by Dre Pill 2.0 Portable Speaker (Black),129.95
2014,AAFES-THANKSGIVING,Cameras,Digital Cameras,Fuji Film Fine Pix JX660 Digital Camera (Red),59.95
2014,AAFES-THANKSGIVING,Home Items,Kitchen,Waterford Marquis 4-pc. Brookside Goblets,27.95
2014,AAFES-THANKSGIVING,Computers,Laptops,"Asus HD Touch Screen 15.6"" Laptop w/ Intel Bay Trainl-M N2930 Quad Core Processor, 4 GB RAM, 500GB HDD Win 8.1 (K553MA-DB01TQ",299.99
2014,AAFES-THANKSGIVING,Home Items,Kitchen,Waterford Marquis 4-pc. Brookside Iced Beverage Glasses,27.95
2014,AAFES-THANKSGIVING,Holiday Items,,Inflatable Santa Pulling Sleigh,79.99
2014,AAFES-THANKSGIVING,Holiday Items,,Lighted Snowman,39.99
2014,AAFES-THANKSGIVING,Home Items,Kitchen,Waterford Marquis 4-pc. Brookside Double Old Fashioned Glasses,27.95
2014,AAFES-THANKSGIVING,Home Items,Kitchen,Rachel Ray Porcelain II 14-pc. Cookwear Set (Red),99.99
2014,AAFES-THANKSGIVING,Holiday Items,,Nutcracker (Red or Blue),29.99
2014,AAFES-THANKSGIVING,Home Items,Kitchen,Waterford Marquis 4-pc. Brookside Flute Set,27.95
2014,AAFES-THANKSGIVING,Personal Care,,Laura Geller Gleam Team Makeup,29.0
2014,AAFES-THANKSGIVING,Personal Care,,Laura Geller Smoke & Ice Makeup,21.25
2014,AAFES-THANKSGIVING,Toys,,Fisher Price Military Ride-On Vehicle,55.45
2014,AAFES-THANKSGIVING,Home Items,Kitchen,KitchenAid White 13-Cup w/ Mini Bowl Food Processor White or Black),99.99
2014,AAFES-THANKSGIVING,Personal Care,,Laura Geller 6- pc. Love at First Kiss Makeup,27.2
2014,AAFES-THANKSGIVING,Toys,,Hasbro Transformers Robot Optimus Prime,23.45
2014,AAFES-THANKSGIVING,Electronics,Headphones,Solo2 On-Ear Headphones (Assorted Colors),129.99
2014,AAFES-THANKSGIVING,Apparel,Jewelry,Imperial Cultured Freshwater Pearl Caged Drop Earrings,49.95
2014,AAFES-THANKSGIVING,Toys,,Little Tikes Splish Splash Sink & Store Kitchen,14.45
2014,AAFES-THANKSGIVING,Apparel,Jewelry,Imperial Cultured 18-in. Freshwater Pearl Necklace,49.95
2014,AAFES-THANKSGIVING,Movies & TV,DVD,Non-Stop (DVD),4.95
2014,AAFES-THANKSGIVING,Toys,,Cra-Z-Sand Cool Cars,13.45
2014,AAFES-THANKSGIVING,Apparel,Women's,Michael Kors Womens Chain Lace up Tunic (Chocolate),35.0
2014,AAFES-THANKSGIVING,Movies & TV,DVD,Lone Survivor (DVD),4.95
2014,AAFES-THANKSGIVING,Apparel,Women's,Michael Kors Womens Logo Long Sleeve Draw String Waste Top (Navy),25.0
2014,AAFES-THANKSGIVING,Sporting Goods,,Gold's Gym Cycle Trainer 310-Speed Bike,199.0
2014,AAFES-THANKSGIVING,Sporting Goods,,Gold's Gym Trainer 315 Treadmill,299.0
2014,AAFES-THANKSGIVING,Home Items,Kitchen,Zojirushi 10-Cup Neuro Fuzzy Rice Cooker and Warmer,150.0
2014,AAFES-THANKSGIVING,Movies & TV,DVD,Fast & Furious 6 (DVD),4.95
2014,AAFES-THANKSGIVING,Sporting Goods,,NordicTrack Strength Performance System,299.0
2014,AAFES-THANKSGIVING,Apparel,Accessories,Michael Kors Womens Aubrey Satchel (Assorted),186.0
2014,AAFES-THANKSGIVING,Apparel,Accessories,Michael Kors Womens Large Satchel (Brown),223.0
2014,AAFES-THANKSGIVING,Home Items,Kitchen,Wusthof Classic Series 7-pc. Knife Block Set,199.99
2014,AAFES-THANKSGIVING,Apparel,Men's,Michael Kors Womens Medium Satchel (Brown),208.0
2014,AAFES-THANKSGIVING,Home Items,Kitchen,Keurig 2.0 Brewer,99.99
2014,AAFES-THANKSGIVING,Home Items,Kitchen,Cuisinart Stainless Steel Microwave,99.99
2014,AAFES-THANKSGIVING,Apparel,Women's,Michael Kors Misses Sleeveless Faux Fur Hooded Jacket (Navy),79.0
2014,AAFES-THANKSGIVING,Apparel,Women's,Michael Kors Misses Long Toggle Detail Wool Coat (Navy),190.0
2014,AAFES-THANKSGIVING,Personal Care,,Beauty Bar Collection Traditional Colors 18-pc. Nail Set,18.0
2014,AAFES-THANKSGIVING,Video Games,Xbox 360,Battlefield (X360),19.95
2014,AAFES-THANKSGIVING,Video Games,Playstation 3,Battlefield (PS3),19.95
2014,AAFES-THANKSGIVING,Personal Care,,Beauty Bar Collection Neon Colors 18-pc. Nail Set,18.0
2014,AAFES-THANKSGIVING,Video Games,PlayStation 4,Knack (PS4),19.95
2014,AAFES-THANKSGIVING,Apparel,Shoes,Skechers Big Button Slouch Mid Boots (Assorted),49.0
2014,AAFES-THANKSGIVING,Apparel,Women's,Calvin Klein Womens Buckle Detail Cowl Neck Tunic,69.0
2014,AAFES-THANKSGIVING,Apparel,Women's,Calvin Klein WomensJ eans Stand-up Collar Faux Leather Biker Jacket,69.0
2014,AAFES-THANKSGIVING,Video Games,Nintendo 3DS,Nintendo 3DS XL Bundle,169.95
2014,AAFES-THANKSGIVING,Sporting Goods,,SOG Outdoor Knife Gift Set,44.95
2014,AAFES-THANKSGIVING,Home Theatre,Speakers,Wireless Audio Soundbar (HW-H450),199.99
2014,AAFES-THANKSGIVING,Apparel,Watches,Citizen Mens Skyhawk Eco Drive Watch,456.0
2014,AAFES-THANKSGIVING,Televisions,LED,"Samsung 75"" 1080p 120Hz LED Smart TV (UN75H6350)",1899.0
2014,AAFES-THANKSGIVING,Video Games,Playstation 3,Drakengard 3 (PS3),19.95
2014,AAFES-THANKSGIVING,Apparel,Women's,Michael Kors Misses Sleeveless Faux Fur Hooded Jacket (Tan),79.0
2014,AAFES,Televisions,LED,"Samsung 50"" 1080p 60Hz Smart LED HDTV (UN50H5203)",527.0
2014,AAFES,Televisions,LED,"Sharp 70"" 1080p 120Hz Smart LED TV (LC70LE660U)",999.0
2014,AAFES,Televisions,LED,"Samsung 40"" 1080p 60Hz Smart LED TV (UN40H5203)",327.0
2014,AAFES,Televisions,LED,"Samsung 32"" 720p 60Hz Smart LED TV (UN32EH4003)",197.0
2014,AAFES,Home Theatre,,iLive 2.0 Bluetooth Soundstand,39.99
2014,AAFES,Home Theatre,,Bose Solo Sound System,289.95
2014,AAFES,Televisions,LED,"Sony 60"" 1080p 120Hz Smart LED TV (KDL60W610B)",699.99
2014,AAFES,Home Theatre,,Sony 2.1 Channel Soundbar w/ Wireless Subwoofer (HT-CT370),199.99
2014,AAFES,Home Theatre,,JBL Soundbar (SB100),99.99
2014,AAFES,Electronics,Tablets,Zeki 8GB Tablet w/ Keyboard Case & Stylus (TBDG773B0),49.99
2014,AAFES,Computers,Laptops,"HP 15.6"" Pavillion Laptop w/ Celeron 2830 4GB RAM, 500GB HDD Win 8.1 (15-F098NR) Bundle w/ Smart Friend 30-day PC Setup & Optimization",248.0
2014,AAFES,Computer Accessories,Printers,Envy All-In-One-Printer (4500),49.99
2014,AAFES,Office,,Envy All-In-One-Printer Ink Cartridge (Black),14.95
2014,AAFES,Computers,Laptops,"HP 15.6"" Laptop w/ Celeron 2830 4GB RAM, 500GB HDD, Win 8.1 (15-F097NR)",168.0
2014,AAFES,Computer Accessories,,Envy All-In-One-Printer Ink Cartridge (Tri-Color #61),19.95
2014,AAFES,Office,,Envy All-In-One-Printer Ink Cartridge (Black Twin-pk.),26.99
2014,AAFES,Electronics,,Sony Bluetooth Noise Cancelling Headset,79.99
2014,AAFES,Office,,Envy All-In-One-Printer Ink Cartridge (Tri-Color Twin-pk.),36.99
2014,AAFES,Apparel,Accessories,Michael Kors Sunglasses (Assorted),29.99
2014,AAFES,Computer Components,Hard Drives,Toshiba Canvio 1TB Connect Portable Hard Drive,57.99
2014,AAFES,Apparel,Shoes,Michael Kors Athleisure Casual Sneakers (Black),49.99
2014,AAFES,Apparel,Shoes,Michael Kors Athleisure Casual Sneakers (Brown),49.99
2014,AAFES,Computer Accessories,Mouse,Digital Innovations Wireless Keyboard & Easy Glide Mouse,14.99
